attack_prevalence,repeat,split,threshold,tp,fp,tn,fn,tpr,fpr,precision,asr
0.1,9,test_jbb_rewrite,0.7340390086,98,56,42,1,0.9898989899,0.5714285714,0.6363636364,0.0101010101
0.05,0,test_main,0.7372361422,31662,98,3049,421,0.9868777857,0.03114076899,0.9969143577,0.01312221426
0.05,0,test_jbb,0.7372361422,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202
0.05,0,test_main_adv2,0.7372361422,31975,2014,1133,108,0.9966337313,0.639974579,0.9407455353,0.00336626874
0.05,0,test_jbb_adv2,0.7372361422,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101
0.05,0,test_main_rewrite,0.7372361422,31766,167,2980,317,0.9901193779,0.05306641246,0.9947703003,0.009880622136
0.05,0,test_jbb_rewrite,0.7372361422,98,56,42,1,0.9898989899,0.5714285714,0.6363636364,0.0101010101
0.05,1,test_main,0.8267406225,31553,94,3053,530,0.9834803478,0.02986971719,0.9970297343,0.01651965215
0.05,1,test_jbb,0.8267406225,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202
0.05,1,test_main_adv2,0.8267406225,31955,1948,1199,128,0.9960103482,0.6190022243,0.9425419579,0.003989651841
0.05,1,test_jbb_adv2,0.8267406225,85,81,17,14,0.8585858586,0.8265306122,0.5120481928,0.1414141414
0.05,1,test_main_rewrite,0.8267406225,31725,150,2997,358,0.9888414425,0.04766444233,0.9952941176,0.01115855749
0.05,1,test_jbb_rewrite,0.8267406225,97,55,43,2,0.9797979798,0.5612244898,0.6381578947,0.0202020202
0.05,2,test_main,0.8267406225,31553,94,3053,530,0.9834803478,0.02986971719,0.9970297343,0.01651965215
0.05,2,test_jbb,0.8267406225,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202
0.05,2,test_main_adv2,0.8267406225,31955,1948,1199,128,0.9960103482,0.6190022243,0.9425419579,0.003989651841
0.05,2,test_jbb_adv2,0.8267406225,85,81,17,14,0.8585858586,0.8265306122,0.5120481928,0.1414141414
0.05,2,test_main_rewrite,0.8267406225,31725,150,2997,358,0.9888414425,0.04766444233,0.9952941176,0.01115855749
0.05,2,test_jbb_rewrite,0.8267406225,97,55,43,2,0.9797979798,0.5612244898,0.6381578947,0.0202020202
0.05,3,test_main,0.8267406225,31553,94,3053,530,0.9834803478,0.02986971719,0.9970297343,0.01651965215
0.05,3,test_jbb,0.8267406225,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202
0.05,3,test_main_adv2,0.8267406225,31955,1948,1199,128,0.9960103482,0.6190022243,0.9425419579,0.003989651841
0.05,3,test_jbb_adv2,0.8267406225,85,81,17,14,0.8585858586,0.8265306122,0.5120481928,0.1414141414
0.05,3,test_main_rewrite,0.8267406225,31725,150,2997,358,0.9888414425,0.04766444233,0.9952941176,0.01115855749
0.05,3,test_jbb_rewrite,0.8267406225,97,55,43,2,0.9797979798,0.5612244898,0.6381578947,0.0202020202
0.05,4,test_main,0.7340390086,31664,98,3049,419,0.9869401241,0.03114076899,0.996914552,0.01305987595
0.05,4,test_jbb,0.7340390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202
0.05,4,test_main_adv2,0.7340390086,31976,2015,1132,107,0.9966649004,0.6402923419,0.9407196022,0.003335099585
0.05,4,test_jbb_adv2,0.7340390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101
0.05,4,test_main_rewrite,0.7340390086,31767,167,2980,316,0.990150547,0.05306641246,0.9947704641,0.009849452981
0.05,4,test_jbb_rewrite,0.7340390086,98,56,42,1,0.9898989899,0.5714285714,0.6363636364,0.0101010101
0.05,5,test_main,0.7372361422,31662,98,3049,421,0.9868777857,0.03114076899,0.9969143577,0.01312221426
0.05,5,test_jbb,0.7372361422,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202
0.05,5,test_main_adv2,0.7372361422,31975,2014,1133,108,0.9966337313,0.639974579,0.9407455353,0.00336626874
0.05,5,test_jbb_adv2,0.7372361422,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101
0.05,5,test_main_rewrite,0.7372361422,31766,167,2980,317,0.9901193779,0.05306641246,0.9947703003,0.009880622136
0.05,5,test_jbb_rewrite,0.7372361422,98,56,42,1,0.9898989899,0.5714285714,0.6363636364,0.0101010101
0.05,6,test_main,0.8407769203,31548,94,3053,535,0.9833245021,0.02986971719,0.9970292649,0.01667549793
0.05,6,test_jbb,0.8407769203,97,56,42,2,0.9797979798,0.5714285714,0.6339869281,0.0202020202
0.05,6,test_main_adv2,0.8407769203,31953,1932,1215,130,0.9959480098,0.6139180172,0.9429836211,0.004051990151
0.05,6,test_jbb_adv2,0.8407769203,84,81,17,15,0.8484848485,0.8265306122,0.5090909091,0.1515151515
0.05,6,test_main_rewrite,0.8407769203,31714,148,2999,369,0.9884985818,0.04702891643,0.9953549683,0.0115014182
0.05,6,test_jbb_rewrite,0.8407769203,97,55,43,2,0.9797979798,0.5612244898,0.6381578947,0.0202020202
0.05,7,test_main,0.8709483743,31528,91,3056,555,0.982701119,0.02891642834,0.9971219836,0.01729888103
0.05,7,test_jbb,0.8709483743,97,54,44,2,0.9797979798,0.5510204082,0.642384106,0.0202020202
0.05,7,test_main_adv2,0.8709483743,31936,1901,1246,147,0.9954181342,0.6040673657,0.9438188965,0.004581865786
0.05,7,test_jbb_adv2,0.8709483743,83,80,18,16,0.8383838384,0.8163265306,0.509202454,0.1616161616
0.05,7,test_main_rewrite,0.8709483743,31692,142,3005,391,0.9878128604,0.04512233874,0.9955393604,0.01218713961
0.05,7,test_jbb_rewrite,0.8709483743,97,53,45,2,0.9797979798,0.5408163265,0.6466666667,0.0202020202
0.05,8,test_main,0.7340390086,31664,98,3049,419,0.9869401241,0.03114076899,0.996914552,0.01305987595
0.05,8,test_jbb,0.7340390086,97,57,41,2,0.9797979798,0.5816326531,0.6298701299,0.0202020202
0.05,8,test_main_adv2,0.7340390086,31976,2015,1132,107,0.9966649004,0.6402923419,0.9407196022,0.003335099585
0.05,8,test_jbb_adv2,0.7340390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101
0.05,8,test_main_rewrite,0.7340390086,31767,167,2980,316,0.990150547,0.05306641246,0.9947704641,0.009849452981
0.05,8,test_jbb_rewrite,0.7340390086,98,56,42,1,0.9898989899,0.5714285714,0.6363636364,0.0101010101
0.05,9,test_main,0.9404219389,31440,84,3063,643,0.9799582333,0.0266920877,0.9973353635,0.02004176667
0.05,9,test_jbb,0.9404219389,97,48,50,2,0.9797979798,0.4897959184,0.6689655172,0.0202020202
0.05,9,test_main_adv2,0.9404219389,31887,1797,1350,196,0.9938908456,0.5710200191,0.9466512291,0.006109154381
0.05,9,test_jbb_adv2,0.9404219389,81,68,30,18,0.8181818182,0.693877551,0.5436241611,0.1818181818
0.05,9,test_main_rewrite,0.9404219389,31610,125,3022,473,0.9852569897,0.03972036861,0.9960611312,0.01474301032
0.05,9,test_jbb_rewrite,0.9404219389,96,48,50,3,0.9696969697,0.4897959184,0.6666666667,0.0303030303
