threshold,tp,fp,tn,fn,tpr,fpr,precision,asr,split
0.6440390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6490390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6540390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6590390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6640390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6690390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6740390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6790390086,90,84,14,9,0.9090909091,0.8571428571,0.5172413793,0.09090909091,test_jbb_adv2
0.6840390086,90,83,15,9,0.9090909091,0.8469387755,0.5202312139,0.09090909091,test_jbb_adv2
0.6890390086,90,83,15,9,0.9090909091,0.8469387755,0.5202312139,0.09090909091,test_jbb_adv2
0.6940390086,90,83,15,9,0.9090909091,0.8469387755,0.5202312139,0.09090909091,test_jbb_adv2
0.6990390086,90,83,15,9,0.9090909091,0.8469387755,0.5202312139,0.09090909091,test_jbb_adv2
0.7040390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101,test_jbb_adv2
0.7090390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101,test_jbb_adv2
0.7140390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101,test_jbb_adv2
0.7190390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101,test_jbb_adv2
0.7240390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101,test_jbb_adv2
0.7290390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101,test_jbb_adv2
0.7340390086,89,83,15,10,0.898989899,0.8469387755,0.5174418605,0.101010101,test_jbb_adv2
0.7390390086,88,83,15,11,0.8888888889,0.8469387755,0.514619883,0.1111111111,test_jbb_adv2
0.7440390086,88,83,15,11,0.8888888889,0.8469387755,0.514619883,0.1111111111,test_jbb_adv2
0.7490390086,88,83,15,11,0.8888888889,0.8469387755,0.514619883,0.1111111111,test_jbb_adv2
0.7540390086,88,83,15,11,0.8888888889,0.8469387755,0.514619883,0.1111111111,test_jbb_adv2
0.7590390086,87,83,15,12,0.8787878788,0.8469387755,0.5117647059,0.1212121212,test_jbb_adv2
0.7640390086,87,83,15,12,0.8787878788,0.8469387755,0.5117647059,0.1212121212,test_jbb_adv2
0.7690390086,87,83,15,12,0.8787878788,0.8469387755,0.5117647059,0.1212121212,test_jbb_adv2
0.7740390086,85,83,15,14,0.8585858586,0.8469387755,0.505952381,0.1414141414,test_jbb_adv2
0.7790390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.7840390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.7890390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.7940390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.7990390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.8040390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.8090390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.8140390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.8190390086,85,82,16,14,0.8585858586,0.8367346939,0.5089820359,0.1414141414,test_jbb_adv2
0.8240390086,85,81,17,14,0.8585858586,0.8265306122,0.5120481928,0.1414141414,test_jbb_adv2
0.8290390086,84,81,17,15,0.8484848485,0.8265306122,0.5090909091,0.1515151515,test_jbb_adv2
0.8340390086,84,81,17,15,0.8484848485,0.8265306122,0.5090909091,0.1515151515,test_jbb_adv2
0.8390390086,84,81,17,15,0.8484848485,0.8265306122,0.5090909091,0.1515151515,test_jbb_adv2
0.8440390086,84,81,17,15,0.8484848485,0.8265306122,0.5090909091,0.1515151515,test_jbb_adv2
0.8490390086,84,81,17,15,0.8484848485,0.8265306122,0.5090909091,0.1515151515,test_jbb_adv2
0.8540390086,84,81,17,15,0.8484848485,0.8265306122,0.5090909091,0.1515151515,test_jbb_adv2
